                                                                                               04 Dec 2020 13:53:13
Educational Use Only
Satellite-Satellite3:  Fixed Position & Velocity


      Time (UTCG)             x (km)           y (km)         z (km)      vx (km/sec)    vy (km/sec)    vz (km/sec)
-----------------------    ------------    -------------    ----------    -----------    -----------    -----------
1 Feb 2018 12:00:00.000    32299.620665    -27102.599787     28.122895      -0.000004      -0.000000       0.004932
1 Feb 2018 12:01:00.000    32299.620387    -27102.599809     28.418526      -0.000004      -0.000000       0.004923
1 Feb 2018 12:02:00.000    32299.620110    -27102.599829     28.713612      -0.000004      -0.000000       0.004914
1 Feb 2018 12:03:00.000    32299.619832    -27102.599847     29.008148      -0.000004      -0.000000       0.004904
1 Feb 2018 12:04:00.000    32299.619554    -27102.599862     29.302129      -0.000004      -0.000000       0.004895
1 Feb 2018 12:05:00.000    32299.619276    -27102.599874     29.595549      -0.000004       0.000000       0.004886
1 Feb 2018 12:06:00.000    32299.618998    -27102.599884     29.888403      -0.000004       0.000000       0.004876
1 Feb 2018 12:07:00.000    32299.618719    -27102.599892     30.180684      -0.000004       0.000000       0.004867
1 Feb 2018 12:08:00.000    32299.618441    -27102.599897     30.472388      -0.000004       0.000000       0.004857
1 Feb 2018 12:09:00.000    32299.618163    -27102.599900     30.763509      -0.000004       0.000000       0.004847
1 Feb 2018 12:10:00.000    32299.617884    -27102.599901     31.054040      -0.000004       0.000000       0.004837
1 Feb 2018 12:11:00.000    32299.617606    -27102.599898     31.343977      -0.000004       0.000000       0.004827
1 Feb 2018 12:12:00.000    32299.617328    -27102.599894     31.633314      -0.000004       0.000000       0.004817
1 Feb 2018 12:13:00.000    32299.617049    -27102.599887     31.922045      -0.000004       0.000000       0.004807
1 Feb 2018 12:14:00.000    32299.617117    -27102.599466     32.209870      -0.000004       0.000000       0.004797
1 Feb 2018 12:15:00.000    32299.616839    -27102.599454     32.497374      -0.000004       0.000000       0.004787
1 Feb 2018 12:16:00.000    32299.616561    -27102.599440     32.784257      -0.000004       0.000000       0.004776
1 Feb 2018 12:17:00.000    32299.616283    -27102.599423     33.070512      -0.000004       0.000001       0.004766
1 Feb 2018 12:18:00.000    32299.616005    -27102.599404     33.356134      -0.000004       0.000001       0.004755
1 Feb 2018 12:19:00.000    32299.615728    -27102.599383     33.641118      -0.000004       0.000001       0.004744
1 Feb 2018 12:20:00.000    32299.615451    -27102.599359     33.925457      -0.000004       0.000001       0.004734
1 Feb 2018 12:21:00.000    32299.615173    -27102.599333     34.209148      -0.000004       0.000001       0.004723
1 Feb 2018 12:22:00.000    32299.614897    -27102.599304     34.492183      -0.000004       0.000001       0.004712
1 Feb 2018 12:23:00.000    32299.614620    -27102.599273     34.774558      -0.000004       0.000001       0.004701
1 Feb 2018 12:24:00.000    32299.614344    -27102.599239     35.056267      -0.000004       0.000001       0.004690
