                                                                                              04 Dec 2020 13:55:07
Educational Use Only
Satellite-Satellite4:  Fixed Position & Velocity


      Time (UTCG)             x (km)          y (km)         z (km)      vx (km/sec)    vy (km/sec)    vz (km/sec)
-----------------------    ------------    ------------    ----------    -----------    -----------    -----------
1 Feb 2018 12:00:00.000    38213.674337    17819.328989    -61.719240       0.000003       0.000004       0.002876
1 Feb 2018 12:01:00.000    38213.674517    17819.329201    -61.546091       0.000003       0.000004       0.002896
1 Feb 2018 12:02:00.000    38213.674699    17819.329412    -61.371764       0.000003       0.000004       0.002915
1 Feb 2018 12:03:00.000    38213.674883    17819.329620    -61.196263       0.000003       0.000004       0.002935
1 Feb 2018 12:04:00.000    38213.675069    17819.329827    -61.019590       0.000003       0.000004       0.002954
1 Feb 2018 12:05:00.000    38213.675257    17819.330033    -60.841749       0.000003       0.000004       0.002974
1 Feb 2018 12:06:00.000    38213.675447    17819.330237    -60.662743       0.000003       0.000004       0.002993
1 Feb 2018 12:07:00.000    38213.675638    17819.330439    -60.482576       0.000003       0.000004       0.003012
1 Feb 2018 12:08:00.000    38213.675831    17819.330639    -60.301251       0.000003       0.000004       0.003032
1 Feb 2018 12:09:00.000    38213.676026    17819.330838    -60.118772       0.000003       0.000004       0.003051
1 Feb 2018 12:10:00.000    38213.676222    17819.331035    -59.935142       0.000003       0.000004       0.003070
1 Feb 2018 12:11:00.000    38213.676421    17819.331231    -59.750365       0.000003       0.000004       0.003089
1 Feb 2018 12:12:00.000    38213.676621    17819.331424    -59.564444       0.000003       0.000003       0.003108
1 Feb 2018 12:13:00.000    38213.676822    17819.331616    -59.377382       0.000003       0.000003       0.003127
1 Feb 2018 12:14:00.000    38213.676798    17819.332294    -59.189096       0.000003       0.000003       0.003146
1 Feb 2018 12:15:00.000    38213.677003    17819.332482    -58.999764       0.000003       0.000003       0.003165
1 Feb 2018 12:16:00.000    38213.677210    17819.332669    -58.809302       0.000003       0.000003       0.003184
1 Feb 2018 12:17:00.000    38213.677418    17819.332853    -58.617714       0.000003       0.000003       0.003202
1 Feb 2018 12:18:00.000    38213.677628    17819.333036    -58.425004       0.000003       0.000003       0.003221
1 Feb 2018 12:19:00.000    38213.677839    17819.333217    -58.231175       0.000003       0.000003       0.003240
1 Feb 2018 12:20:00.000    38213.678052    17819.333396    -58.036232       0.000003       0.000003       0.003258
1 Feb 2018 12:21:00.000    38213.678267    17819.333574    -57.840178       0.000003       0.000003       0.003277
1 Feb 2018 12:22:00.000    38213.678483    17819.333749    -57.643016       0.000003       0.000003       0.003295
1 Feb 2018 12:23:00.000    38213.678701    17819.333923    -57.444751       0.000004       0.000003       0.003314
1 Feb 2018 12:24:00.000    38213.678920    17819.334094    -57.245387       0.000004       0.000003       0.003332
1 Feb 2018 12:25:00.000    38213.679141    17819.334264    -57.044927       0.000004       0.000003       0.003350
1 Feb 2018 12:26:00.000    38213.679363    17819.334432    -56.843374       0.000004       0.000003       0.003368
1 Feb 2018 12:27:00.000    38213.679586    17819.334597    -56.640734       0.000004       0.000003       0.003386
1 Feb 2018 12:28:00.000    38213.679811    17819.334761    -56.437009       0.000004       0.000003       0.003404
1 Feb 2018 12:29:00.000    38213.680038    17819.334923    -56.232204       0.000004       0.000003       0.003422
1 Feb 2018 12:30:00.000    38213.680266    17819.335083    -56.026322       0.000004       0.000003       0.003440
1 Feb 2018 12:31:00.000    38213.680495    17819.335241    -55.819368       0.000004       0.000003       0.003458
1 Feb 2018 12:32:00.000    38213.680726    17819.335396    -55.611345       0.000004       0.000003       0.003476
1 Feb 2018 12:33:00.000    38213.680958    17819.335550    -55.402258       0.000004       0.000003       0.003494
1 Feb 2018 12:34:00.000    38213.681191    17819.335702    -55.192110       0.000004       0.000003       0.003511
1 Feb 2018 12:35:00.000    38213.681426    17819.335852    -54.980906       0.000004       0.000003       0.003529
1 Feb 2018 12:36:00.000    38213.681662    17819.335999    -54.768649       0.000004       0.000003       0.003546
1 Feb 2018 12:37:00.000    38213.681899    17819.336145    -54.555344       0.000004       0.000003       0.003564
1 Feb 2018 12:38:00.000    38213.682137    17819.336288    -54.340994       0.000004       0.000003       0.003581
1 Feb 2018 12:39:00.000    38213.682377    17819.336430    -54.125604       0.000004       0.000003       0.003598
1 Feb 2018 12:40:00.000    38213.682618    17819.336569    -53.909178       0.000004       0.000003       0.003616
1 Feb 2018 12:41:00.000    38213.682860    17819.336706    -53.691720       0.000004       0.000003       0.003633
1 Feb 2018 12:42:00.000    38213.683104    17819.336841    -53.473235       0.000004       0.000003       0.003650
1 Feb 2018 12:43:00.000    38213.683348    17819.336974    -53.253725       0.000004       0.000002       0.003667
1 Feb 2018 12:44:00.000    38213.683366    17819.337593    -53.033063       0.000004       0.000002       0.003684
1 Feb 2018 12:45:00.000    38213.683613    17819.337722    -52.811517       0.000004       0.000002       0.003701
1 Feb 2018 12:46:00.000    38213.683861    17819.337848    -52.588961       0.000004       0.000002       0.003718
1 Feb 2018 12:47:00.000    38213.684110    17819.337972    -52.365397       0.000004       0.000002       0.003734
1 Feb 2018 12:48:00.000    38213.684360    17819.338095    -52.140832       0.000004       0.000002       0.003751
1 Feb 2018 12:49:00.000    38213.684612    17819.338214    -51.915268       0.000004       0.000002       0.003768
1 Feb 2018 12:50:00.000    38213.684864    17819.338332    -51.688710       0.000004       0.000002       0.003784
1 Feb 2018 12:51:00.000    38213.685117    17819.338448    -51.461163       0.000004       0.000002       0.003801
1 Feb 2018 12:52:00.000    38213.685371    17819.338561    -51.232631       0.000004       0.000002       0.003817
1 Feb 2018 12:53:00.000    38213.685627    17819.338672    -51.003118       0.000004       0.000002       0.003833
1 Feb 2018 12:54:00.000    38213.685883    17819.338781    -50.772628       0.000004       0.000002       0.003850
1 Feb 2018 12:55:00.000    38213.686140    17819.338887    -50.541167       0.000004       0.000002       0.003866
1 Feb 2018 12:56:00.000    38213.686398    17819.338992    -50.308738       0.000004       0.000002       0.003882
1 Feb 2018 12:57:00.000    38213.686657    17819.339094    -50.075347       0.000004       0.000002       0.003898
1 Feb 2018 12:58:00.000    38213.686917    17819.339194    -49.840996       0.000004       0.000002       0.003914
1 Feb 2018 12:59:00.000    38213.687177    17819.339291    -49.605692       0.000004       0.000002       0.003930
1 Feb 2018 13:00:00.000    38213.687439    17819.339386    -49.369437       0.000004       0.000002       0.003945
1 Feb 2018 13:01:00.000    38213.687701    17819.339479    -49.132238       0.000004       0.000002       0.003961
1 Feb 2018 13:02:00.000    38213.687965    17819.339570    -48.894098       0.000004       0.000002       0.003977
1 Feb 2018 13:03:00.000    38213.688229    17819.339658    -48.655023       0.000004       0.000002       0.003992
1 Feb 2018 13:04:00.000    38213.688493    17819.339744    -48.415016       0.000004       0.000002       0.004008
1 Feb 2018 13:05:00.000    38213.688759    17819.339828    -48.174082       0.000004       0.000002       0.004023
1 Feb 2018 13:06:00.000    38213.689025    17819.339909    -47.932226       0.000004       0.000002       0.004039
1 Feb 2018 13:07:00.000    38213.689292    17819.339988    -47.689452       0.000004       0.000002       0.004054
1 Feb 2018 13:08:00.000    38213.689559    17819.340065    -47.445765       0.000004       0.000002       0.004069
1 Feb 2018 13:09:00.000    38213.689828    17819.340139    -47.201170       0.000004       0.000001       0.004084
1 Feb 2018 13:10:00.000    38213.690097    17819.340211    -46.955672       0.000004       0.000001       0.004099
1 Feb 2018 13:11:00.000    38213.690366    17819.340281    -46.709275       0.000004       0.000001       0.004114
1 Feb 2018 13:12:00.000    38213.690636    17819.340348    -46.461983       0.000004       0.000001       0.004129
1 Feb 2018 13:13:00.000    38213.690907    17819.340413    -46.213802       0.000004       0.000001       0.004144
1 Feb 2018 13:14:00.000    38213.690951    17819.340964    -45.964560       0.000004       0.000001       0.004158
1 Feb 2018 13:15:00.000    38213.691222    17819.341024    -45.714614       0.000004       0.000001       0.004173
1 Feb 2018 13:16:00.000    38213.691495    17819.341081    -45.463792       0.000004       0.000001       0.004188
1 Feb 2018 13:17:00.000    38213.691768    17819.341137    -45.212099       0.000004       0.000001       0.004202
1 Feb 2018 13:18:00.000    38213.692041    17819.341190    -44.959541       0.000004       0.000001       0.004216
1 Feb 2018 13:19:00.000    38213.692315    17819.341241    -44.706123       0.000004       0.000001       0.004231
1 Feb 2018 13:20:00.000    38213.692589    17819.341289    -44.451849       0.000004       0.000001       0.004245
