                                                                                           04 Dec 2020 13:55:27
Educational Use Only
Satellite-Satellite5:  Fixed Position & Velocity


      Time (UTCG)             x (km)         y (km)       z (km)      vx (km/sec)    vy (km/sec)    vz (km/sec)
-----------------------    ------------    ---------    ----------    -----------    -----------    -----------
1 Feb 2018 12:00:00.000    42164.140513    -0.000000     49.557769      -0.000005      -0.000000       0.003933
1 Feb 2018 12:01:00.000    42164.140236    -0.000022     49.793265      -0.000005      -0.000000       0.003917
1 Feb 2018 12:02:00.000    42164.139958    -0.000042     50.027808      -0.000005      -0.000000       0.003901
1 Feb 2018 12:03:00.000    42164.139680    -0.000060     50.261393      -0.000005       0.000000       0.003885
1 Feb 2018 12:04:00.000    42164.139402    -0.000075     50.494016      -0.000005       0.000000       0.003869
1 Feb 2018 12:05:00.000    42164.139124    -0.000087     50.725672      -0.000005       0.000000       0.003853
1 Feb 2018 12:06:00.000    42164.138846    -0.000097     50.956358      -0.000005       0.000000       0.003837
1 Feb 2018 12:07:00.000    42164.138568    -0.000105     51.186068      -0.000005       0.000000       0.003820
1 Feb 2018 12:08:00.000    42164.138290    -0.000110     51.414798      -0.000005       0.000000       0.003804
1 Feb 2018 12:09:00.000    42164.138011    -0.000113     51.642544      -0.000005       0.000000       0.003788
1 Feb 2018 12:10:00.000    42164.137733    -0.000114     51.869301      -0.000005       0.000000       0.003771
1 Feb 2018 12:11:00.000    42164.137455    -0.000112     52.095065      -0.000005       0.000000       0.003754
1 Feb 2018 12:12:00.000    42164.137176    -0.000107     52.319832      -0.000005       0.000000       0.003738
1 Feb 2018 12:13:00.000    42164.136898    -0.000100     52.543598      -0.000005       0.000000       0.003721
1 Feb 2018 12:14:00.000    42164.136620     0.000447     52.766281      -0.000005       0.000000       0.003704
1 Feb 2018 12:15:00.000    42164.136342     0.000458     52.988033      -0.000005       0.000001       0.003687
1 Feb 2018 12:16:00.000    42164.136064     0.000473     53.208769      -0.000005       0.000001       0.003670
1 Feb 2018 12:17:00.000    42164.135786     0.000489     53.428488      -0.000005       0.000001       0.003653
1 Feb 2018 12:18:00.000    42164.135508     0.000508     53.647183      -0.000005       0.000001       0.003636
1 Feb 2018 12:19:00.000    42164.135231     0.000530     53.864852      -0.000005       0.000001       0.003619
1 Feb 2018 12:20:00.000    42164.134954     0.000554     54.081489      -0.000005       0.000001       0.003602
1 Feb 2018 12:21:00.000    42164.134676     0.000580     54.297091      -0.000005       0.000001       0.003585
1 Feb 2018 12:22:00.000    42164.134400     0.000609     54.511654      -0.000005       0.000001       0.003567
1 Feb 2018 12:23:00.000    42164.134123     0.000640     54.725173      -0.000005       0.000001       0.003550
1 Feb 2018 12:24:00.000    42164.133847     0.000674     54.937644      -0.000005       0.000001       0.003532
1 Feb 2018 12:25:00.000    42164.133571     0.000710     55.149064      -0.000005       0.000001       0.003515
1 Feb 2018 12:26:00.000    42164.133295     0.000748     55.359428      -0.000005       0.000001       0.003497
1 Feb 2018 12:27:00.000    42164.133020     0.000789     55.568733      -0.000005       0.000001       0.003480
1 Feb 2018 12:28:00.000    42164.132745     0.000832     55.776973      -0.000005       0.000001       0.003462
1 Feb 2018 12:29:00.000    42164.132470     0.000878     55.984146      -0.000005       0.000001       0.003444
1 Feb 2018 12:30:00.000    42164.132196     0.000926     56.190248      -0.000005       0.000001       0.003426
1 Feb 2018 12:31:00.000    42164.131922     0.000976     56.395273      -0.000005       0.000001       0.003408
1 Feb 2018 12:32:00.000    42164.131649     0.001029     56.599219      -0.000005       0.000001       0.003390
1 Feb 2018 12:33:00.000    42164.131376     0.001084     56.802082      -0.000005       0.000001       0.003372
1 Feb 2018 12:34:00.000    42164.131104     0.001142     57.003857      -0.000005       0.000001       0.003354
1 Feb 2018 12:35:00.000    42164.130832     0.001202     57.204541      -0.000005       0.000001       0.003336
1 Feb 2018 12:36:00.000    42164.130561     0.001264     57.404130      -0.000005       0.000001       0.003317
1 Feb 2018 12:37:00.000    42164.130290     0.001329     57.602620      -0.000005       0.000001       0.003299
1 Feb 2018 12:38:00.000    42164.130020     0.001396     57.800007      -0.000004       0.000001       0.003281
1 Feb 2018 12:39:00.000    42164.129751     0.001466     57.996288      -0.000004       0.000001       0.003262
1 Feb 2018 12:40:00.000    42164.129482     0.001538     58.191459      -0.000004       0.000002       0.003244
1 Feb 2018 12:41:00.000    42164.129213     0.001612     58.385515      -0.000004       0.000002       0.003225
1 Feb 2018 12:42:00.000    42164.128946     0.001688     58.578454      -0.000004       0.000002       0.003206
1 Feb 2018 12:43:00.000    42164.128679     0.001767     58.770272      -0.000004       0.000002       0.003188
1 Feb 2018 12:44:00.000    42164.128413     0.002386     58.960937      -0.000004       0.000002       0.003169
1 Feb 2018 12:45:00.000    42164.128147     0.002469     59.150502      -0.000004       0.000002       0.003150
1 Feb 2018 12:46:00.000    42164.127882     0.002555     59.338936      -0.000004       0.000002       0.003131
1 Feb 2018 12:47:00.000    42164.127618     0.002643     59.526233      -0.000004       0.000002       0.003112
1 Feb 2018 12:48:00.000    42164.127355     0.002734     59.712391      -0.000004       0.000002       0.003093
1 Feb 2018 12:49:00.000    42164.127093     0.002827     59.897405      -0.000004       0.000002       0.003074
1 Feb 2018 12:50:00.000    42164.126831     0.002922     60.081274      -0.000004       0.000002       0.003055
1 Feb 2018 12:51:00.000    42164.126570     0.003019     60.263992      -0.000004       0.000002       0.003036
1 Feb 2018 12:52:00.000    42164.126310     0.003119     60.445556      -0.000004       0.000002       0.003016
1 Feb 2018 12:53:00.000    42164.126051     0.003221     60.625963      -0.000004       0.000002       0.002997
1 Feb 2018 12:54:00.000    42164.125793     0.003325     60.805210      -0.000004       0.000002       0.002978
1 Feb 2018 12:55:00.000    42164.125536     0.003431     60.983293      -0.000004       0.000002       0.002958
1 Feb 2018 12:56:00.000    42164.125280     0.003540     61.160208      -0.000004       0.000002       0.002939
1 Feb 2018 12:57:00.000    42164.125025     0.003651     61.335952      -0.000004       0.000002       0.002919
1 Feb 2018 12:58:00.000    42164.124770     0.003764     61.510523      -0.000004       0.000002       0.002900
1 Feb 2018 12:59:00.000    42164.124517     0.003879     61.683916      -0.000004       0.000002       0.002880
1 Feb 2018 13:00:00.000    42164.124265     0.003997     61.856128      -0.000004       0.000002       0.002860
1 Feb 2018 13:01:00.000    42164.124013     0.004116     62.027156      -0.000004       0.000002       0.002841
1 Feb 2018 13:02:00.000    42164.123763     0.004238     62.196996      -0.000004       0.000002       0.002821
1 Feb 2018 13:03:00.000    42164.123514     0.004363     62.365646      -0.000004       0.000002       0.002801
1 Feb 2018 13:04:00.000    42164.123266     0.004489     62.533102      -0.000004       0.000002       0.002781
1 Feb 2018 13:05:00.000    42164.123019     0.004617     62.699361      -0.000004       0.000002       0.002761
1 Feb 2018 13:06:00.000    42164.122773     0.004748     62.864420      -0.000004       0.000002       0.002741
1 Feb 2018 13:07:00.000    42164.122529     0.004881     63.028276      -0.000004       0.000003       0.002721
1 Feb 2018 13:08:00.000    42164.122285     0.005016     63.190924      -0.000004       0.000003       0.002701
1 Feb 2018 13:09:00.000    42164.122043     0.005153     63.352364      -0.000004       0.000003       0.002681
1 Feb 2018 13:10:00.000    42164.121802     0.005292     63.512590      -0.000004       0.000003       0.002660
1 Feb 2018 13:11:00.000    42164.121562     0.005433     63.671600      -0.000004       0.000003       0.002640
1 Feb 2018 13:12:00.000    42164.121324     0.005577     63.829392      -0.000004       0.000003       0.002620
1 Feb 2018 13:13:00.000    42164.121086     0.005722     63.985962      -0.000004       0.000003       0.002599
1 Feb 2018 13:14:00.000    42164.120850     0.006407     64.141327      -0.000004       0.000003       0.002579
1 Feb 2018 13:15:00.000    42164.120616     0.006556     64.295446      -0.000004       0.000003       0.002558
1 Feb 2018 13:16:00.000    42164.120382     0.006708     64.448334      -0.000004       0.000003       0.002538
