                                                                                                 04 Dec 2020 13:51:48
Educational Use Only
Satellite-Satellite1:  Fixed Position & Velocity


      Time (UTCG)             x (km)           y (km)          z (km)       vx (km/sec)    vy (km/sec)    vz (km/sec)
-----------------------    ------------    -------------    ------------    -----------    -----------    -----------
1 Feb 2018 12:00:00.000    -3025.103035       546.203786    -6152.981524      -1.715927      -9.669270      -0.014714
1 Feb 2018 12:01:00.000    -3123.883052       -34.245869    -6140.314368      -1.575948      -9.673580       0.436456
1 Feb 2018 12:02:00.000    -3214.109431      -613.723011    -6100.735669      -1.431179      -9.637018       0.881357
1 Feb 2018 12:03:00.000    -3295.572667     -1189.817526    -6034.803250      -1.284217      -9.561200       1.314020
1 Feb 2018 12:04:00.000    -3368.217848     -1760.253205    -5943.414015      -1.137594      -9.448939       1.729159
1 Feb 2018 12:05:00.000    -3432.136473     -2322.952280    -5827.755430      -0.993639      -9.303991       2.122406
1 Feb 2018 12:06:00.000    -3487.550849     -2876.083139    -5689.245905      -0.854370      -9.130753       2.490442
1 Feb 2018 12:07:00.000    -3534.793336     -3418.089416    -5529.470300      -0.721429      -8.933952       2.831034
1 Feb 2018 12:08:00.000    -3574.282882     -3947.701056    -5350.116340      -0.596059      -8.718362       3.142972
1 Feb 2018 12:09:00.000    -3606.501137     -4463.929796    -5152.916495      -0.479113      -8.488570       3.425950
1 Feb 2018 12:10:00.000    -3631.969951     -4966.052552    -4939.598304      -0.371084      -8.248805       3.680411
1 Feb 2018 12:11:00.000    -3651.231491     -5453.586535    -4711.844574      -0.272166      -8.002835       3.907374
1 Feb 2018 12:12:00.000    -3664.831638     -5926.259668    -4471.263619      -0.182299      -7.753912       4.108277
1 Feb 2018 12:13:00.000    -3673.306844     -6383.979260    -4219.368771      -0.101237      -7.504765       4.284827
1 Feb 2018 12:14:00.000    -3677.174226     -6826.801202    -3957.565946      -0.028594      -7.257625       4.438882
1 Feb 2018 12:15:00.000    -3676.924996     -7254.901118    -3687.147432       0.036109      -7.014261       4.572352
1 Feb 2018 12:16:00.000    -3673.019602     -7668.548546    -3409.291189       0.093407      -6.776042       4.687133
1 Feb 2018 12:17:00.000    -3665.885620     -8068.084325    -3125.063281       0.143858      -6.543988       4.785051
1 Feb 2018 12:18:00.000    -3655.916816     -8453.901420    -2835.423044       0.188027      -6.318824       4.867833
1 Feb 2018 12:19:00.000    -3643.473408     -8826.428960    -2541.229771       0.226466      -6.101038       4.937085
1 Feb 2018 12:20:00.000    -3628.883138     -9186.119204    -2243.250259       0.259705      -5.890921       4.994284
1 Feb 2018 12:21:00.000    -3612.442864     -9533.437089    -1942.166691       0.288242      -5.688611       5.040773
1 Feb 2018 12:22:00.000    -3594.420483     -9868.851991    -1638.584488       0.312543      -5.494124       5.077769
1 Feb 2018 12:23:00.000    -3575.057024    -10192.831332    -1333.039883       0.333039      -5.307382       5.106363
1 Feb 2018 12:24:00.000    -3554.568788    -10505.835741    -1026.007064       0.350123      -5.128239       5.127533
1 Feb 2018 12:25:00.000    -3533.149474    -10808.315450     -717.904798       0.364155      -4.956499       5.142150
1 Feb 2018 12:26:00.000    -3510.972223    -11100.707715     -409.102497       0.375461      -4.791928       5.150990
1 Feb 2018 12:27:00.000    -3488.191552    -11383.435023      -99.925720       0.384337      -4.634268       5.154741
1 Feb 2018 12:28:00.000    -3464.945164    -11656.903946      209.338867       0.391047      -4.483248       5.154013
1 Feb 2018 12:29:00.000    -3441.355609    -11921.504482      518.439060       0.395832      -4.338589       5.149346
1 Feb 2018 12:30:00.000    -3417.531820    -12177.609769      827.153155       0.398907      -4.200007       5.141217
1 Feb 2018 12:31:00.000    -3393.570500    -12425.576102     1135.286436       0.400465      -4.067226       5.130050
1 Feb 2018 12:32:00.000    -3369.557383    -12665.743149     1442.668053       0.400678      -3.939968       5.116219
1 Feb 2018 12:33:00.000    -3345.568375    -12898.434333     1749.148265       0.399702      -3.817969       5.100053
1 Feb 2018 12:34:00.000    -3321.670577    -13123.957327     2054.596001       0.397675      -3.700970       5.081847
1 Feb 2018 12:35:00.000    -3297.923206    -13342.604621     2358.896705       0.394722      -3.588723       5.061857
1 Feb 2018 12:36:00.000    -3274.378419    -13554.654139     2661.950439       0.390954      -3.480991       5.040314
1 Feb 2018 12:37:00.000    -3251.082058    -13760.369888     2963.670201       0.386471      -3.377546       5.017421
1 Feb 2018 12:38:00.000    -3228.074307    -13960.002611     3263.980443       0.381362      -3.278174       4.993356
1 Feb 2018 12:39:00.000    -3205.390284    -14153.790444     3562.815771       0.375706      -3.182670       4.968279
1 Feb 2018 12:40:00.000    -3183.060575    -14341.959565     3860.119783       0.369575      -3.090839       4.942331
1 Feb 2018 12:41:00.000    -3161.111704    -14524.724827     4155.844053       0.363033      -3.002498       4.915637
1 Feb 2018 12:42:00.000    -3139.566558    -14702.290364     4449.947230       0.356138      -2.917474       4.888308
1 Feb 2018 12:43:00.000    -3118.444764    -14874.850180     4742.394240       0.348941      -2.835603       4.860443
1 Feb 2018 12:44:00.000    -3097.762837    -15042.588797     5033.155447       0.341487      -2.756729       4.832130
1 Feb 2018 12:45:00.000    -3077.535256    -15205.681452     5322.206557       0.333819      -2.680706       4.803444
